Municipios	2013	2014	2015	2016	2017
Armenia	2280.43	2202.51	2184.2	2016.1	1888.18
Buenavista	1197.67	1170.94	1155.6	1111.8	1066.92
Calarcá	4668.46	4427	4380.3	4003.4	3818.91
Circasia	2469.04	2339.04	2252.1	2163	2035.5
Córdoba	2021.34	1924.94	1728.8	1670.5	1586.44
Filandia	2292.44	2144.4	2077.7	1989.5	1869.34
Génova	4524.56	4399.16	4380.2	4283.4	3855.9
La Tebaida	589.99	584.1	581.2	536.5	518.97
Montenegro	1485.25	1432.25	1432.9	1352	1267.78
Pijao	3265.73	3187.74	3159.8	2869.7	2292.2
Quimbaya	3472.44	3281.1	3188.5	3018	2918.87
Salento	612.46	597.61	573.6	671	643.89
