"AÑO_INFRACCION","MES_INFRACCION","CLASE_VEHICULO_INFRACTOR","sum_CANTIDAD_INFRACCIONES"
"2015","1","TRACCION ANIMAL","1"
"2015","1","BICICLETA","60"
"2015","1","Otros","130"
"2015","1","MOTOCICLETA","2774"
"2015","1","AUTOMOVIL","1696"
"2015","1","CAMIONETA","510"
"2015","1","CAMPERO","101"
"2015","1","CAMION","162"
"2015","1","MOTOCARRO","8"
"2015","1","MICROBUS","105"
"2015","1","BUS","97"
"2015","1","VOLQUETA","14"
"2015","1","BUSETA","37"
"2015","1","DUMPER VOLQUETAARTICULADA","1"
"2015","1","TRACTO/CAMION","48"
"2015","1","MAQUINARIA AGRICOLA","1"
"2015","1","CUATRIMOTO","1"
"2015","1","MAQUINARIA INDUSTRIAL","1"
"2015","2","BICICLETA","52"
"2015","2","Otros","113"
"2015","2","MOTOCICLETA","2429"
"2015","2","AUTOMOVIL","1728"
"2015","2","CAMIONETA","529"
"2015","2","CAMPERO","144"
"2015","2","MOTOCARRO","21"
"2015","2","CAMION","138"
"2015","2","MICROBUS","77"
"2015","2","BUSETA","15"
"2015","2","BUS","33"
"2015","2","VOLQUETA","8"
"2015","2","DUMPER VOLQUETAARTICULADA","2"
"2015","2","TRACTO/CAMION","48"
"2015","2","MAQUINARIA INDUSTRIAL","2"
"2015","3","BICICLETA","79"
"2015","3","TRACCION ANIMAL","4"
"2015","3","Otros","104"
"2015","3","MOTOCICLETA","2559"
"2015","3","AUTOMOVIL","1608"
"2015","3","CAMIONETA","457"
"2015","3","MOTOCARRO","67"
"2015","3","CAMPERO","88"
"2015","3","CAMION","106"
"2015","3","MICROBUS","67"
"2015","3","BUS","72"
"2015","3","TRACTO/CAMION","37"
"2015","3","BUSETA","50"
"2015","3","VOLQUETA","13"
"2015","3","MOTOTRICICLO","1"
"2015","4","Otros","20"
"2015","4","TRACCION ANIMAL","1"
"2015","4","BICICLETA","25"
"2015","4","MOTOCICLETA","781"
"2015","4","AUTOMOVIL","498"
"2015","4","CAMIONETA","153"
"2015","4","CAMPERO","50"
"2015","4","MICROBUS","30"
"2015","4","CAMION","50"
"2015","4","BUS","41"
"2015","4","TRACTO/CAMION","15"
"2015","4","BUSETA","11"
"2015","4","MOTOCARRO","6"
"2015","4","VOLQUETA","4"
"2015","4","MAQUINARIA INDUSTRIAL","2"
"2015","5","BICICLETA","185"
"2015","5","MOTOCICLETA","3041"
"2015","5","AUTOMOVIL","1670"
"2015","5","CAMIONETA","482"
"2015","5","CAMPERO","126"
"2015","5","MOTOCARRO","26"
"2015","5","CAMION","97"
"2015","5","MICROBUS","75"
"2015","5","BUS","83"
"2015","5","TRACTO/CAMION","35"
"2015","5","VOLQUETA","8"
"2015","5","Otros","84"
"2015","5","BUSETA","26"
"2015","5","DUMPER VOLQUETAARTICULADA","1"
"2015","5","MAQUINARIA INDUSTRIAL","1"
"2015","5","TRACCION ANIMAL","1"
"2015","6","BICICLETA","280"
"2015","6","MOTOCICLETA","4975"
"2015","6","CAMIONETA","694"
"2015","6","AUTOMOVIL","2137"
"2015","6","CAMPERO","126"
"2015","6","CAMION","202"
"2015","6","MOTOCARRO","33"
"2015","6","VOLQUETA","22"
"2015","6","BUSETA","83"
"2015","6","MICROBUS","125"
"2015","6","BUS","219"
"2015","6","TRACTO/CAMION","40"
"2015","6","Otros","278"
"2015","6","MONTACARGAS","1"
"2015","6","MAQUINARIA INDUSTRIAL","2"
"2015","7","Otros","390"
"2015","7","TRACCION ANIMAL","1"
"2015","7","BICICLETA","369"
"2015","7","TRACTO/CAMION","104"
"2015","7","AUTOMOVIL","2038"
"2015","7","BUS","299"
"2015","7","MOTOCICLETA","4917"
"2015","7","CAMIONETA","694"
"2015","7","CAMPERO","162"
"2015","7","MOTOCARRO","28"
"2015","7","CAMION","202"
"2015","7","MAQUINARIA INDUSTRIAL","1"
"2015","7","MICROBUS","174"
"2015","7","BUSETA","86"
"2015","7","VOLQUETA","24"
"2015","7","MONTACARGAS","1"
"2015","7","REMOLQUE","1"
"2015","8","TRACCION ANIMAL","3"
"2015","8","BICICLETA","510"
"2015","8","Otros","348"
"2015","8","TRACTO/CAMION","85"
"2015","8","MOTOCICLETA","5607"
"2015","8","AUTOMOVIL","2090"
"2015","8","CAMIONETA","679"
"2015","8","CAMPERO","148"
"2015","8","MOTOCARRO","33"
"2015","8","CAMION","231"
"2015","8","VOLQUETA","17"
"2015","8","CUATRIMOTO","2"
"2015","8","MICROBUS","84"
"2015","8","BUS","122"
"2015","8","BUSETA","45"
"2015","8","MAQUINARIA INDUSTRIAL","2"
"2015","9","BICICLETA","492"
"2015","9","TRACCION ANIMAL","1"
"2015","9","Otros","403"
"2015","9","MOTOCICLETA","4842"
"2015","9","AUTOMOVIL","2166"
"2015","9","CAMIONETA","644"
"2015","9","MOTOCARRO","30"
"2015","9","CAMION","233"
"2015","9","CAMPERO","160"
"2015","9","BUS","123"
"2015","9","MICROBUS","108"
"2015","9","BUSETA","43"
"2015","9","VOLQUETA","21"
"2015","9","TRACTO/CAMION","46"
"2015","9","CARGADOR","1"
"2015","9","MAQUINARIA INDUSTRIAL","1"
"2015","10","BICICLETA","596"
"2015","10","Otros","376"
"2015","10","TRACCION ANIMAL","2"
"2015","10","MOTOCICLETA","4773"
"2015","10","AUTOMOVIL","2206"
"2015","10","CAMIONETA","606"
"2015","10","MOTOCARRO","50"
"2015","10","CAMPERO","146"
"2015","10","CAMION","261"
"2015","10","MICROBUS","99"
"2015","10","BUS","93"
"2015","10","VOLQUETA","22"
"2015","10","TRACTO/CAMION","47"
"2015","10","DUMPER VOLQUETAARTICULADA","1"
"2015","10","BUSETA","31"
"2015","10","MAQUINARIA AGRICOLA","1"
"2015","10","CARGADOR","1"
"2015","11","BICICLETA","411"
"2015","11","MOTOCICLETA","3347"
"2015","11","Otros","214"
"2015","11","TRACCION ANIMAL","2"
"2015","11","CAMIONETA","506"
"2015","11","AUTOMOVIL","1541"
"2015","11","CAMPERO","104"
"2015","11","CAMION","151"
"2015","11","MOTOCARRO","29"
"2015","11","MICROBUS","59"
"2015","11","BUS","75"
