"date","value"
"1/1/2015","2"
"1/4/2015","2"
"1/6/2015","1"
"1/10/2015","1"
"1/13/2015","1"
"1/14/2015","3"
"1/15/2015","3"
"1/18/2015","5"
"1/19/2015","5"
"1/23/2015","1"
"1/25/2015","1"
"1/27/2015","1"
"1/28/2015","1"
"1/30/2015","1"
"2/6/2015","1"
"2/9/2015","1"
"2/10/2015","4"
"2/12/2015","1"
"2/13/2015","1"
"2/14/2015","1"
"2/16/2015","1"
"2/19/2015","4"
"2/21/2015","2"
"2/27/2015","1"
"2/28/2015","2"
"3/1/2015","1"
"3/2/2015","4"
"3/3/2015","1"
"3/8/2015","1"
"3/10/2015","3"
"3/12/2015","1"
"3/13/2015","1"
"3/15/2015","1"
"3/20/2015","1"
"3/22/2015","1"
"3/24/2015","1"
"3/25/2015","1"
"3/26/2015","2"
"3/27/2015","1"
"3/30/2015","1"
"4/11/2015","2"
"4/14/2015","2"
"4/19/2015","2"
"4/20/2015","1"
"4/22/2015","1"
"4/25/2015","1"
"4/30/2015","1"
"5/2/2015","3"
"5/3/2015","2"
"5/7/2015","1"
"5/8/2015","1"
"5/11/2015","1"
"5/12/2015","3"
"5/20/2015","1"
"5/22/2015","1"
"5/29/2015","6"
"6/1/2015","2"
"6/3/2015","1"
"6/4/2015","2"
"6/8/2015","3"
"6/11/2015","2"
"6/12/2015","1"
"6/13/2015","1"
"6/22/2015","1"
"6/23/2015","1"
"6/26/2015","2"
"6/27/2015","1"
"6/29/2015","3"
"7/1/2015","1"
"7/3/2015","1"
"7/7/2015","1"
"7/9/2015","1"
"7/13/2015","1"
"7/14/2015","2"
"7/17/2015","1"
"7/18/2015","1"
"7/21/2015","3"
"7/23/2015","2"
"7/26/2015","1"
"7/29/2015","2"
"7/30/2015","2"
"8/1/2015","1"
"8/3/2015","5"
"8/4/2015","2"
"8/5/2015","1"
"8/8/2015","1"
"8/12/2015","1"
"8/15/2015","1"
"8/16/2015","2"
"8/20/2015","1"
"8/21/2015","1"
"8/27/2015","2"
"8/28/2015","1"
"8/31/2015","2"
"9/1/2015","2"
"9/2/2015","5"
"9/3/2015","3"
"9/7/2015","2"
"9/8/2015","2"
"9/9/2015","2"
"9/10/2015","1"
"9/13/2015","1"
"9/15/2015","6"
"9/16/2015","1"
"9/22/2015","1"
"9/25/2015","1"
"9/29/2015","1"
"9/30/2015","1"
"10/3/2015","1"
"10/6/2015","1"
"10/20/2015","2"
"10/22/2015","1"
"10/28/2015","4"
"10/29/2015","2"
"11/2/2015","1"
"11/3/2015","1"
"11/4/2015","1"
"11/6/2015","1"
"11/11/2015","1"
"11/12/2015","1"
"11/18/2015","1"
"11/22/2015","1"
"11/23/2015","1"
"11/27/2015","1"
"12/4/2015","1"
"12/6/2015","1"
"12/19/2015","1"
"12/23/2015","1"
"12/24/2015","1"
"12/31/2015","1"
"1/3/2016","1"
"1/12/2016","1"
"1/13/2016","2"
"1/16/2016","2"
"1/23/2016","2"
"1/25/2016","1"
"1/26/2016","2"
"1/29/2016","2"
"1/30/2016","1"
"1/31/2016","4"
"2/1/2016","1"
"2/3/2016","2"
"2/5/2016","1"
"2/7/2016","1"
"2/8/2016","2"
"2/9/2016","1"
"2/10/2016","1"
"2/11/2016","2"
"2/12/2016","1"
"2/15/2016","1"
"2/21/2016","2"
"2/25/2016","1"
"2/26/2016","3"
"2/29/2016","1"
"3/3/2016","1"
"3/7/2016","1"
"3/9/2016","2"
"3/11/2016","2"
"3/12/2016","1"
"3/14/2016","1"
"3/15/2016","3"
"3/16/2016","2"
"3/17/2016","1"
"3/20/2016","2"
"3/21/2016","1"
"3/27/2016","1"
"3/29/2016","1"
"3/31/2016","3"
"4/1/2016","1"
"4/2/2016","2"
"4/3/2016","1"
"4/5/2016","1"
"4/6/2016","4"
"4/7/2016","1"
"4/9/2016","1"
"4/13/2016","1"
"4/14/2016","5"
"4/19/2016","1"
"4/20/2016","4"
"4/21/2016","3"
"4/22/2016","2"
"4/23/2016","1"
"4/24/2016","2"
"4/27/2016","2"
"4/28/2016","1"
"5/2/2016","1"
"5/5/2016","1"
"5/8/2016","1"
"5/10/2016","1"
"5/11/2016","1"
"5/16/2016","1"
"5/17/2016","1"
"5/19/2016","1"
"5/21/2016","3"
"5/23/2016","2"
"5/24/2016","1"
"5/26/2016","1"
"6/8/2016","1"
"6/10/2016","1"
"6/14/2016","1"
"6/23/2016","1"
"6/24/2016","1"
"6/27/2016","1"
"6/29/2016","1"
"6/30/2016","1"
"7/3/2016","1"
"7/7/2016","1"
"7/12/2016","1"
"7/13/2016","3"
"7/15/2016","1"
"7/17/2016","2"
"7/18/2016","1"
"7/19/2016","2"
"7/22/2016","1"
"7/25/2016","3"
"7/27/2016","1"
"7/28/2016","1"
"8/6/2016","1"
"8/9/2016","1"
"8/10/2016","1"
"8/12/2016","1"
"8/17/2016","2"
"8/19/2016","2"
"8/21/2016","1"
"8/23/2016","1"
"8/24/2016","2"
"8/25/2016","2"
"8/26/2016","1"
"8/28/2016","3"
"8/30/2016","1"
"8/31/2016","5"
"9/1/2016","1"
"9/2/2016","1"
"9/5/2016","1"
"9/6/2016","2"
"9/13/2016","1"
"9/16/2016","1"
"9/27/2016","1"
"10/3/2016","2"
"10/4/2016","1"
"10/11/2016","1"
"10/12/2016","1"
"10/13/2016","1"
"10/14/2016","1"
"10/18/2016","1"
"10/20/2016","1"
"10/21/2016","1"
"10/22/2016","1"
"10/23/2016","1"
"10/25/2016","1"
"10/27/2016","1"
"11/1/2016","1"
"11/5/2016","1"
"11/6/2016","1"
"11/11/2016","1"
"11/12/2016","2"
"11/13/2016","1"
"11/16/2016","2"
"11/22/2016","1"
"11/23/2016","1"
"11/24/2016","1"
"11/30/2016","1"
"12/2/2016","2"
"12/5/2016","2"
"12/6/2016","1"
"12/16/2016","1"
"12/23/2016","1"
"12/25/2016","3"
"12/29/2016","2"
"12/30/2016","2"
"1/6/2017","1"
"1/7/2017","1"
"1/10/2017","1"
"1/17/2017","2"
"1/20/2017","3"
"1/23/2017","1"
"1/26/2017","1"
"1/27/2017","1"
"1/30/2017","1"
"1/31/2017","1"
"2/1/2017","1"
"2/2/2017","3"
"2/4/2017","1"
"2/13/2017","1"
"2/14/2017","1"
"2/15/2017","1"
"2/16/2017","2"
"2/18/2017","1"
"2/19/2017","1"
"2/26/2017","1"
"3/1/2017","1"
"3/8/2017","1"
"3/9/2017","1"
"3/11/2017","1"
"3/12/2017","4"
"3/13/2017","2"
"3/15/2017","1"
"3/16/2017","1"
"3/17/2017","1"
"3/19/2017","1"
"3/22/2017","2"
"3/24/2017","2"
"3/26/2017","1"
"3/27/2017","1"
"3/28/2017","2"
"3/29/2017","1"
"3/30/2017","3"
"3/31/2017","2"
"4/3/2017","1"
"4/4/2017","2"
"4/5/2017","1"
"4/6/2017","2"
"4/7/2017","2"
"4/12/2017","1"
"4/13/2017","1"
"4/19/2017","1"
"4/22/2017","2"
"4/25/2017","1"
"4/26/2017","1"
"4/27/2017","1"
"5/3/2017","1"
"5/5/2017","1"
"5/6/2017","1"
"5/7/2017","1"
"5/9/2017","1"
"5/12/2017","1"
"5/15/2017","1"
"5/17/2017","1"
"5/18/2017","1"
"5/19/2017","2"
"5/23/2017","3"
"5/24/2017","1"
"5/26/2017","1"
"5/27/2017","1"
"5/28/2017","4"
"5/29/2017","2"
"5/30/2017","1"
"5/31/2017","1"
"6/1/2017","1"
"6/5/2017","1"
"6/7/2017","1"
"6/12/2017","2"
"6/15/2017","1"
"6/17/2017","2"
"6/18/2017","1"
"6/23/2017","1"
"6/27/2017","1"
"7/6/2017","1"
"7/7/2017","1"
"7/8/2017","1"
"7/9/2017","2"
"7/11/2017","1"
"7/12/2017","2"
"7/13/2017","1"
"7/20/2017","1"
"7/22/2017","1"
"7/23/2017","3"
"7/24/2017","1"
"7/25/2017","1"
"7/27/2017","2"
"7/28/2017","2"
"7/29/2017","1"
"8/2/2017","1"
"8/3/2017","2"
"8/9/2017","1"
"8/18/2017","1"
"8/19/2017","1"
"8/20/2017","2"
"8/23/2017","1"
"8/24/2017","1"
