date,value
2015-01-01,2
2015-01-04,2
2015-01-06,1
2015-01-10,1
2015-01-13,1
2015-01-14,3
2015-01-15,3
2015-01-18,5
2015-01-19,5
2015-01-23,1
2015-01-25,1
2015-01-27,1
2015-01-28,1
2015-01-30,1
2015-02-06,1
2015-02-09,1
2015-02-10,4
2015-02-12,1
2015-02-13,1
2015-02-14,1
2015-02-16,1
2015-02-19,4
2015-02-21,2
2015-02-27,1
2015-02-28,2
2015-03-01,1
2015-03-02,4
2015-03-03,1
2015-03-08,1
2015-03-10,3
2015-03-12,1
2015-03-13,1
2015-03-15,1
2015-03-20,1
2015-03-22,1
2015-03-24,1
2015-03-25,1
2015-03-26,2
2015-03-27,1
2015-03-30,1
2015-04-11,2
2015-04-14,2
2015-04-19,2
2015-04-20,1
2015-04-22,1
2015-04-25,1
2015-04-30,1
2015-05-02,3
2015-05-03,2
2015-05-07,1
2015-05-08,1
2015-05-11,1
2015-05-12,3
2015-05-20,1
2015-05-22,1
2015-05-29,6
2015-06-01,2
2015-06-03,1
2015-06-04,2
2015-06-08,3
2015-06-11,2
2015-06-12,1
2015-06-13,1
2015-06-22,1
2015-06-23,1
2015-06-26,2
2015-06-27,1
2015-06-29,3
2015-07-01,1
2015-07-03,1
2015-07-07,1
2015-07-09,1
2015-07-13,1
2015-07-14,2
2015-07-17,1
2015-07-18,1
2015-07-21,3
2015-07-23,2
2015-07-26,1
2015-07-29,2
2015-07-30,2
2015-08-01,1
2015-08-03,5
2015-08-04,2
2015-08-05,1
2015-08-08,1
2015-08-12,1
2015-08-15,1
2015-08-16,2
2015-08-20,1
2015-08-21,1
2015-08-27,2
2015-08-28,1
2015-08-31,2
2015-09-01,2
2015-09-02,5
2015-09-03,3
2015-09-07,2
2015-09-08,2
2015-09-09,2
2015-09-10,1
2015-09-13,1
2015-09-15,6
2015-09-16,1
2015-09-22,1
2015-09-25,1
2015-09-29,1
2015-09-30,1
2015-10-03,1
2015-10-06,1
2015-10-20,2
2015-10-22,1
2015-10-28,4
2015-10-29,2
2015-11-02,1
2015-11-03,1
2015-11-04,1
2015-11-06,1
2015-11-11,1
2015-11-12,1
2015-11-18,1
2015-11-22,1
2015-11-23,1
2015-11-27,1
2015-12-04,1
2015-12-06,1
2015-12-19,1
2015-12-23,1
2015-12-24,1
2015-12-31,1
2016-01-03,1
2016-01-12,1
2016-01-13,2
2016-01-16,2
2016-01-23,2
2016-01-25,1
2016-01-26,2
2016-01-29,2
2016-01-30,1
2016-01-31,4
2016-02-01,1
2016-02-03,2
2016-02-05,1
2016-02-07,1
2016-02-08,2
2016-02-09,1
2016-02-10,1
2016-02-11,2
2016-02-12,1
2016-02-15,1
2016-02-21,2
2016-02-25,1
2016-02-26,3
2016-02-29,1
2016-03-03,1
2016-03-07,1
2016-03-09,2
2016-03-11,2
2016-03-12,1
2016-03-14,1
2016-03-15,3
2016-03-16,2
2016-03-17,1
2016-03-20,2
2016-03-21,1
2016-03-27,1
2016-03-29,1
2016-03-31,3
2016-04-01,1
2016-04-02,2
2016-04-03,1
2016-04-05,1
2016-04-06,4
2016-04-07,1
2016-04-09,1
2016-04-13,1
2016-04-14,5
2016-04-19,1
2016-04-20,4
2016-04-21,3
2016-04-22,2
2016-04-23,1
2016-04-24,2
2016-04-27,2
2016-04-28,1
2016-05-02,1
2016-05-05,1
2016-05-08,1
2016-05-10,1
2016-05-11,1
2016-05-16,1
2016-05-17,1
2016-05-19,1
2016-05-21,3
2016-05-23,2
2016-05-24,1
2016-05-26,1
2016-06-08,1
2016-06-10,1
2016-06-14,1
2016-06-23,1
2016-06-24,1
2016-06-27,1
2016-06-29,1
2016-06-30,1
2016-07-03,1
2016-07-07,1
2016-07-12,1
2016-07-13,3
2016-07-15,1
2016-07-17,2
2016-07-18,1
2016-07-19,2
2016-07-22,1
2016-07-25,3
2016-07-27,1
2016-07-28,1
2016-08-06,1
2016-08-09,1
2016-08-10,1
2016-08-12,1
2016-08-17,2
2016-08-19,2
2016-08-21,1
2016-08-23,1
2016-08-24,2
2016-08-25,2
2016-08-26,1
2016-08-28,3
2016-08-30,1
2016-08-31,5
2016-09-01,1
2016-09-02,1
2016-09-05,1
2016-09-06,2
2016-09-13,1
2016-09-16,1
2016-09-27,1
2016-10-03,2
2016-10-04,1
2016-10-11,1
2016-10-12,1
2016-10-13,1
2016-10-14,1
2016-10-18,1
2016-10-20,1
2016-10-21,1
2016-10-22,1
2016-10-23,1
2016-10-25,1
2016-10-27,1
2016-11-01,1
2016-11-05,1
2016-11-06,1
2016-11-11,1
2016-11-12,2
2016-11-13,1
2016-11-16,2
2016-11-22,1
2016-11-23,1
2016-11-24,1
2016-11-30,1
2016-12-02,2
2016-12-05,2
2016-12-06,1
2016-12-16,1
2016-12-23,1
2016-12-25,3
2016-12-29,2
2016-12-30,2
2017-01-06,1
2017-01-07,1
2017-01-10,1
2017-01-17,2
2017-01-20,3
2017-01-23,1
2017-01-26,1
2017-01-27,1
2017-01-30,1
2017-01-31,1
2017-02-01,1
2017-02-02,3
2017-02-04,1
2017-02-13,1
2017-02-14,1
2017-02-15,1
2017-02-16,2
2017-02-18,1
2017-02-19,1
2017-02-26,1
2017-03-01,1
2017-03-08,1
2017-03-09,1
2017-03-11,1
2017-03-12,4
2017-03-13,2
2017-03-15,1
2017-03-16,1
2017-03-17,1
2017-03-19,1
2017-03-22,2
2017-03-24,2
2017-03-26,1
2017-03-27,1
2017-03-28,2
2017-03-29,1
2017-03-30,3
2017-03-31,2
2017-04-03,1
2017-04-04,2
2017-04-05,1
2017-04-06,2
2017-04-07,2
2017-04-12,1
2017-04-13,1
2017-04-19,1
2017-04-22,2
2017-04-25,1
2017-04-26,1
2017-04-27,1
2017-05-03,1
2017-05-05,1
2017-05-06,1
2017-05-07,1
2017-05-09,1
2017-05-12,1
2017-05-15,1
2017-05-17,1
2017-05-18,1
2017-05-19,2
2017-05-23,3
2017-05-24,1
2017-05-26,1
2017-05-27,1
2017-05-28,4
2017-05-29,2
2017-05-30,1
2017-05-31,1
2017-06-01,1
2017-06-05,1
2017-06-07,1
2017-06-12,2
2017-06-15,1
2017-06-17,2
2017-06-18,1
2017-06-23,1
2017-06-27,1
2017-07-06,1
2017-07-07,1
2017-07-08,1
2017-07-09,2
2017-07-11,1
2017-07-12,2
2017-07-13,1
2017-07-20,1
2017-07-22,1
2017-07-23,3
2017-07-24,1
2017-07-25,1
2017-07-27,2
2017-07-28,2
2017-07-29,1
2017-08-02,1
2017-08-03,2
2017-08-09,1
2017-08-18,1
2017-08-19,1
2017-08-20,2
2017-08-23,1
2017-08-24,1
2017-08-29,1
2017-08-30,3
2017-09-06,1
2017-09-13,1
2017-09-16,2
2017-09-17,1
2017-09-20,1
2017-09-21,1
2017-09-24,1
2017-09-25,1
2017-09-26,1
2017-09-28,1
2017-09-30,2
2017-10-02,3
2017-10-03,1
2017-10-05,1
2017-10-06,1
2017-10-12,3
2017-10-16,1
2017-10-17,1
2017-10-18,1
2017-10-23,1
2017-10-26,1
2017-10-27,1
2017-10-28,1
2017-11-02,1
2017-11-05,1
2017-11-14,2
2017-11-15,1
2017-11-22,1
2017-11-26,1
2017-11-27,1
2017-11-30,1
2017-12-04,1
2017-12-05,1
2017-12-08,1
2017-12-10,2
2017-12-12,4
2017-12-13,1
2017-12-20,1
2017-12-22,2
2017-12-27,2
2017-12-31,1
2018-01-03,1
2018-01-05,1
2018-01-07,1
2018-01-10,3
2018-01-12,1
2018-01-13,1
2018-01-15,3
2018-01-26,2
2018-02-01,1
2018-02-02,2
2018-02-05,1
2018-02-07,2
2018-02-19,1
2018-02-27,1
2018-03-14,2
2018-03-16,1
2018-03-17,1
2018-03-20,1
2018-03-25,1
2018-03-27,2
2018-03-28,3
2018-03-29,1
2018-04-02,4
2018-04-03,1
2018-04-04,1
2018-04-06,3
2018-04-07,2
2018-04-09,1
2018-04-11,1
2018-04-12,1
2018-04-17,1
2018-04-18,2
2018-04-20,1
2018-04-22,2
2018-04-25,2
2018-04-26,2
2018-04-30,1
2018-05-05,2
2018-05-07,2
2018-05-10,1
2018-05-12,1
2018-05-17,2
2018-05-19,1
2018-06-01,1
2018-06-06,2
2018-06-12,2
2018-06-13,1
2018-06-17,1
2018-06-18,1
2018-06-19,1
2018-06-20,2
2018-06-24,2
2018-06-27,1
2018-06-30,1
2018-07-02,1
2018-07-12,1
2018-07-19,1
2018-07-21,1
2018-07-22,1
2018-07-23,2
2018-07-24,2
2018-07-26,1
2018-07-28,3
2018-07-29,1
2018-08-02,6
2018-08-03,1
2018-08-04,1
2018-08-05,1
2018-08-08,4
2018-08-09,1
2018-08-12,1
2018-08-18,1
2018-08-23,2
2018-08-28,1
2018-08-29,1
2018-08-31,2
2018-09-01,1
2018-09-02,2
2018-09-03,1
2018-09-04,2
2018-09-07,1
2018-09-10,1
2018-09-11,1
2018-09-14,1
2018-09-20,4
2018-09-25,1
2018-09-27,1
2018-09-29,1
2018-10-02,1
2018-10-03,2
2018-10-09,1
2018-10-10,1
2018-10-14,1
2018-10-22,1
2018-10-27,1
2018-10-28,1
2018-10-29,1
2018-11-06,1
2018-11-09,1
2018-11-13,1
2018-11-16,1
2018-11-17,1
2018-11-18,1
2018-11-23,2
2018-11-26,1
2018-11-29,1
2018-11-30,2
2018-12-01,1
2018-12-03,1
2018-12-04,2
2018-12-05,1
2018-12-06,1
2018-12-07,1
2018-12-13,2
2018-12-17,1
2018-12-18,2
2018-12-19,1
2018-12-20,2
2018-12-26,1
2018-12-28,2
2018-12-31,1
2019-01-01,1
2019-01-04,1
2019-01-07,2
2019-01-10,1
2019-01-11,3
2019-01-12,2
2019-01-19,1
2019-01-25,1
2019-01-29,1
2019-01-31,1
2019-02-03,1
2019-02-16,1
2019-02-23,1
2019-03-02,1
2019-03-05,1
2019-03-11,2
2019-03-13,2
2019-03-14,2
2019-03-18,1
2019-03-29,2
2019-03-30,1
2019-04-02,1
2019-04-03,1
2019-04-05,1
2019-04-07,1
2019-04-08,1
2019-04-26,1
2019-05-17,1
2019-05-25,1
2019-05-28,1
2019-05-29,1
2019-05-30,1
2019-06-06,1
2019-06-11,1
2019-06-17,1
2019-06-27,1
2019-07-03,1
2019-07-15,1
2019-07-18,1
2019-07-19,2
2019-07-21,1
