DEPARTAMENTO DELITO	01/2015	02/2015	03/2015	04/2015	05/2015	06/2015	07/2015	08/2015	09/2015	10/2015	11/2015	12/2015	01/2016	02/2016	03/2016	04/2016	05/2016	06/2016	07/2016	08/2016	09/2016	10/2016	11/2016	12/2016	01/2017	02/2017	03/2017	04/2017	05/2017	06/2017	07/2017	08/2017	09/2017	10/2017	11/2017	12/2017	01/2018	02/2018	03/2018	04/2018	05/2018	06/2018	07/2018	08/2018	09/2018	10/2018	11/2018	12/2018	01/2019	02/2019	03/2019	04/2019	05/2019	06/2019	07/2019
CAUCA	4	1	1	0	2	0	0	1	1	1	0	1	1	3	1	2	0	0	4	2	1	0	1	1	1	0	1	2	1	0	1	1	2	1	3	7	3	0	1	3	3	4	1	2	1	0	1	6	1	0	2	0	0	1	0
MAGDALENA	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	4	0	0	0	0	0	0	0	0	1	0
CAQUETÁ	1	0	1	0	1	2	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HUILA	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
VALLE DEL CAUCA	3	0	5	2	0	3	0	0	3	1	2	1	4	2	4	4	1	1	0	0	1	1	2	2	4	4	7	5	4	3	4	1	1	0	1	1	0	2	2	1	1	0	0	3	2	2	0	2	4	0	0	1	0	1	0
ANTIOQUIA	5	0	1	2	1	1	3	2	6	3	2	0	2	4	5	5	1	1	5	3	1	7	1	2	0	2	2	0	3	2	0	2	1	4	0	1	0	0	4	2	1	0	1	1	2	1	1	1	1	1	1	1	0	0	1
BOYACÁ	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
CHOCÓ	1	3	0	0	1	2	1	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	1	0	0	0	2	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	2	6	2	0	0	0	0	0	1	0	0	0	0
ARAUCA	3	2	1	0	2	1	1	1	0	0	1	0	2	2	0	0	0	1	0	3	1	0	0	1	3	0	2	0	0	0	0	0	0	0	0	0	2	0	2	2	0	2	0	3	0	1	0	1	1	0	2	0	0	0	0
META	7	0	1	1	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	1	0	2	0	1	2	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
BOGOTÁ D.C.	1	3	3	0	3	1	2	0	4	0	0	0	1	2	2	3	4	0	1	6	1	2	1	2	1	1	0	0	1	1	2	1	0	1	0	1	1	2	0	2	0	2	3	0	0	0	0	1	0	0	0	1	0	0	1
CASANARE	0	1	1	0	0	2	3	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
NARIÑO	0	1	0	0	0	1	1	1	0	2	0	2	0	0	0	1	0	0	0	4	1	0	0	2	0	0	0	3	2	0	4	0	1	1	2	0	0	1	2	3	1	2	0	1	0	1	2	0	0	0	0	1	0	0	0
NORTE DE SANTANDER	0	7	0	1	1	3	3	2	3	1	2	0	2	0	4	6	4	1	2	4	1	1	2	0	0	1	4	1	3	3	1	5	4	2	1	0	3	2	0	6	0	1	1	1	0	4	2	3	6	2	1	2	2	0	3
PUTUMAYO	0	1	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	0	1	2	1	0	0	1	0	0	1	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LA GUAJIRA	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	1	0	0	0	0
TOLIMA	0	0	3	0	5	0	0	2	2	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
CESAR	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0
GUAVIARE	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUNDINAMARCA	0	0	0	1	0	0	0	5	0	0	1	0	0	2	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
SANTANDER	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	1	0	1
BOLÍVAR	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
RISARALDA	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0
ATLÁNTICO	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
QUINDÍO	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÓRDOBA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALDAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VAUPÉS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCRE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
VICHADA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
